business,city,state,trade,web_status,notes
Menefee's Tree Service,Biloxi,MS,Tree service,none,24hr emergency
Climbing High Tree Specialists,Biloxi,MS,Tree service,none,Hazardous removal
South MS Lawn Care,Gulfport,MS,Lawn care,none,
Cuttin' Up Lawn Care,Gulfport,MS,Lawn care,none,
Dee's Lawn & Groundscaping,Gulfport,MS,Lawn & landscape,none,Closest match to Songy Brothers
Exclusive Lawn Care,Gulfport,MS,Lawn care,none,
Davie Nix Handyman Service,Gulfport,MS,Handyman,none,Since 2006
Clean Slate Pressure Washing,Gulfport,MS,Pressure wash + paint + lawn + handyman,none,Four service lines on one FB page
TWA Pressure Washing,Gulfport,MS,Pressure washing,none,Veteran-owned sole operator
Maverick Rolloffs,Gulfport,MS,Dumpster rental,none,
Lawn Care Plus,Mobile,AL,Lawn maintenance,none,
Andy's Lawn Care & Powerwashing,Mobile,AL,Lawn + power wash + tree,none,Multiple service lines
MLJ Lawn Care,Mobile,AL,Lawn + pressure wash + painting,none,Multiple service lines
Ideal Lawn Care LLC,Tuscaloosa,AL,Lawn care,none,
Madison Lawn Care,Tuscaloosa,AL,Lawn care,none,
Moore Lawn Care,Shreveport,LA,Lawn + handyman + excavation,none,
All Seasons Landscaping & Lawn Maintenance,Shreveport,LA,Landscaping & hardscapes,none,
Stewart's Lawn Care & Maintenance,Meridian,MS,Lawn / mulch / sod,none,Owner Adam Stewart
DJ and Sons At Your Service,Montgomery,AL,Handyman,none,Owner Demetri Colvin
Totally Stumped,Hattiesburg,MS,Stump grinding,none,
Knights Tree Service,Hattiesburg/Laurel,MS,Tree trim & removal,none,
The HandyMan Services LLC,Fayetteville,NC,Handyman / kitchens,none,Strong local cluster
K & O Rentals and Handyman Service,Fayetteville,NC,Handyman + rentals,none,Strong local cluster
Tremmel's Handyman Services,Hope Mills,NC,Handyman,none,Veteran-owned
H&M Handyman LLC,Lizella/Macon,GA,Handyman / decks / fences,none,Owner Hunter
Cenla Home Repair LLC,Alexandria,LA,Repair & remodel,none,
Ben's Tree Service,Spartanburg,SC,Tree removal,none,Owner Ben Hamby; 30 yrs
Greenscapes Lawn Care & Landscaping,Valdosta,GA,Lawn / mulch / roof cleaning,none,
GreenPro Landscaping LLC,Valdosta,GA,Landscaping,none,
Quan's Lawn Care LLC,Valdosta,GA,Lawn care,none,
The Lawn Specialist,Albany,GA,Lawn care,none,Licensed & insured
Bonita Lawn & Tree Service,Lexington,KY,Lawn + tree,none,Est. 2020
AC Lawn Care Services LLC,Lexington,KY,Lawn care,none,
ATC Tree Service,Augusta,GA,Tree removal,none,VERIFY - unrelated atctreeservice.com is an Atlanta firm
Around the Corner Tree Service,Dothan,AL,Tree service,none,
J & H Tree Service,Dothan,AL,Tree service,none,
HoneyDo Services,Cottonwood/Dothan,AL,Handyman + lawn + exterior,none,Owner Tyler Anderson
Mr. Tim's Appliance & Handyman,Weaver/Anniston,AL,Appliance + handyman,none,35 yrs experience
Palmers Tree and Landscape Services,Vicksburg,MS,Tree & landscape,none,
T-n-T Lawn Service LLC,Vicksburg,MS,Lawn care,none,
Lawn Care and More LLC,Vicksburg,MS,Lawn + pressure wash + tree,none,
Four Seasons Lawn & Landscape,Laurel,MS,Lawn & landscape,none,
Green Haven Lawn Care,Brookhaven/McComb,MS,Lawn care,none,
Arnold's Lawn Care & Maintenance,Brookhaven,MS,Lawn care,none,10+ yrs
Jack of All Handyman Services,Natchez,MS,Handyman,none,
Pro Lawn Care Services LLC,Cleveland,MS,Lawn care,none,Contact Bob Walker
K & N Lawn Care,Pine Bluff,AR,Lawn care,none,Contact Nicholas Beck
Cothrans Tree Service,Pine Bluff,AR,Tree service,none,
Pine Tree Pros LLC,Waycross,GA,Lawn + tree,none,Est. 2023
Hill's Lawn Service,Waycross,GA,Lawn care,none,23 yrs experience
Johnson's Lawn Care & Landscaping,Thomasville,GA,Lawn & landscape,none,
DNA Lawn Service,Tifton,GA,Lawn + gutters,none,
Angel's Tree Service,Rentz/Dublin,GA,Tree service,none,41 yrs in business
J&K Handyman,Opelika,AL,Handyman,none,
Eleven2Seven6 Lawn & Landscaping,Selma,AL,Lawn / landscape / tree,none,
Xtreme Lawn Care & Landscaping,Enterprise,AL,Lawn + gutters + pressure wash,none,
Po Boy's Tree Service,Sumter,SC,Tree service,none,50+ yrs
Gamecock Lawn Care & Landscaping,Sumter,SC,Lawn + irrigation,none,
Flower Pot Lawn Care & Landscaping,El Dorado,AR,Lawn & landscape,none,
Loftin Lawn Care & Landscaping,El Dorado,AR,Lawn & landscape,none,
Foster's Tree Service,El Dorado,AR,Tree service,none,Directory listing only
Green Thumb Lawn Care,Jonesboro,AR,Weed control & fertilizing,none,Est. 2002; directory listing only
Martin Lawn Care & Services,Jonesboro,AR,Lawn & tree,none,
McNabb's Lawncare & Landscaping,Ruston,LA,Lawn / pressure wash / firewood,none,22 yrs
Apex Outdoor Services LLC,Ruston,LA,Lawn & landscape,none,Licensed & insured
